,Дата транзакции,Сумма в RUB,БЕ
132,2021-05-13,-4004871.4463419314,4
133,2021-05-14,-4015463.80879919,4
134,2021-05-15,-590738.3617254415,4
135,2021-05-16,-3939266.357931309,4
136,2021-05-17,-580615.7192522173,4
137,2021-05-18,-4061854.9817933408,4
138,2021-05-19,-618785.7450064366,4
139,2021-05-20,-4001113.233842028,4
140,2021-05-21,-3995646.854979057,4
141,2021-05-22,-438672.1696819362,4
142,2021-05-23,-4000396.952665287,4
143,2021-05-24,-665489.8659029827,4
144,2021-05-25,-4029273.9759634994,4
145,2021-05-26,-584706.3643726386,4
146,2021-05-27,-4056008.8774970877,4
147,2021-05-28,-3933218.689216457,4
148,2021-05-29,-251940.2039324194,4
149,2021-05-30,-4014608.5322197415,4
150,2021-05-31,-397791.06290025834,4
151,2021-06-01,-3939164.820862847,4
152,2021-06-02,-384553.7452308567,4
153,2021-06-03,-4126217.6427619853,4
154,2021-06-04,-4135568.8875502264,4
155,2021-06-05,-521271.67703476606,4
156,2021-06-06,-3972581.2598587717,4
157,2021-06-07,-269113.07448967174,4
158,2021-06-08,-4014953.3019061796,4
159,2021-06-09,-436386.7641804768,4
160,2021-06-10,-4122823.4572163257,4
161,2021-06-11,-4108036.683000447,4
162,2021-06-12,-686154.4453240864,4
163,2021-06-13,-3979812.6540252725,4
164,2021-06-14,-446845.80706366076,4
165,2021-06-15,-4124752.9558834946,4
166,2021-06-16,-591824.5671573939,4
167,2021-06-17,-4099610.9765600245,4
168,2021-06-18,-4087253.155030205,4
169,2021-06-19,-501915.3938281264,4
170,2021-06-20,-4107923.513663253,4
171,2021-06-21,-696067.6787195825,4
172,2021-06-22,-4127909.589555931,4
173,2021-06-23,-674544.4187174098,4
174,2021-06-24,-4111426.5313593806,4
175,2021-06-25,-3988790.5269561387,4
176,2021-06-26,-334193.8832209044,4
177,2021-06-27,0.0,4
178,2021-06-28,-12658254.437327795,4
179,2021-06-29,0.0,4
180,2021-06-30,0.0,4
